respondent_id;Gusta_Riesgo;Licencia;Amigos_Moto;Familiares_Moto;Genero;Edad;Posición_Jefe_hogar;Posición_Hijo;Posición_Pareja;Ocupación_Independiente;Ocupación_Estudiante;Ocupación_Hogar;Ingreso_Personal;Ingreso_Norm_Personas;Estrato;Menores_16;Mayores_65;Nivel_Estudio;Vehículos;Otros_Licencia;Edad_18_40;Hombre_18_40
13119116103;5;1;1;1;1;30;1;0;0;0;0;0;1.75;0.75;3;1;0;4;1;1;1;1
13119106360;2;0;1;1;0;36;0;0;1;0;0;0;1.75;0.84;3;1;0;2;1;1;1;0
13119072547;3;1;1;0;0;47;1;0;0;0;0;0;1.75;0.5625;2;1;0;3;1;1;0;0
13119096362;2;0;1;1;0;25;0;0;0;0;0;0;0.5;0.166;2;1;0;3;0;0;1;0
13119056574;5;1;1;1;1;22;0;1;0;0;1;0;1.164;0.84;2;0;0;3;1;1;1;1
13119116085;3;0;1;1;0;25;1;0;0;0;0;1;0.5;0.125;3;1;0;2;0;0;1;0
13119104499;2;0;1;0;0;18;0;0;1;0;1;0;0.5;0.166666667;2;1;0;2;0;0;1;0
13119089270;3;1;1;1;1;27;1;0;0;0;0;0;3;1.4625;3;1;0;4;1;1;1;1
13119101330;2;1;1;0;1;26;0;1;0;1;0;0;1.75;0.6;3;1;0;4;1;1;1;1
13119016714;3;0;1;1;0;20;0;0;0;1;0;0;0.664;0.4375;3;0;0;2;1;1;1;0
13119089637;4;0;1;1;0;28;1;0;0;0;0;0;1.164;0.2328;2;1;0;3;1;1;1;0
13119042254;1;1;1;1;0;21;1;0;0;0;0;0;1.164;1.164;3;0;0;4;1;0;1;0
13119080372;3;1;0;0;1;41;1;0;0;0;0;0;3;0.6;4;1;0;4;1;1;0;0
13119037451;2;1;1;1;0;49;1;0;0;1;0;0;2.25;1;3;0;0;4;1;1;0;0
13119079297;3;1;1;1;1;18;0;1;0;0;0;0;1.164;0.84;2;1;0;3;1;1;1;1
13119051939;3;1;1;1;0;33;1;0;0;0;0;0;3;0.975;3;1;0;4;1;1;1;0
13119092416;4;0;1;1;0;22;0;1;0;0;0;0;1.164;0.6;2;1;0;3;1;1;1;0
13119009246;3;1;1;1;1;26;1;0;0;0;0;0;1.164;0.583333333;3;0;0;4;1;0;1;1
13119082269;1;1;1;0;0;39;1;0;0;0;0;0;3;1.975;3;1;1;5;1;1;1;0
13119088434;4;1;1;1;0;35;0;0;1;1;0;0;3;1.05;3;1;0;4;1;1;1;0
13119080304;2;1;0;0;1;46;1;0;0;0;0;0;3;0.84;3;1;0;4;1;1;0;0
13119068103;3;1;1;1;1;32;1;0;0;0;0;0;2.25;0.75;3;1;0;4;1;1;1;1
13119070189;1;1;1;1;0;26;0;0;1;0;0;0;0.664;0.166;2;1;0;3;1;1;1;0
13119057384;4;0;1;1;0;23;0;1;0;0;0;0;0.5;0.75;2;0;1;4;1;1;1;0
13119062160;3;0;0;1;0;19;0;1;0;1;0;0;0.5;0.25;2;1;1;3;0;1;1;0
13119075062;1;0;0;1;1;19;0;1;0;0;1;0;0.5;0.5625;2;1;0;2;1;1;1;1
13119062683;2;1;1;1;0;40;1;0;0;0;0;0;1.164;0.5;3;1;0;3;1;1;1;0
13119089247;4;0;1;1;0;27;1;0;0;0;0;0;1.75;0.166;3;0;0;3;1;1;1;0
13119055798;3;1;1;1;0;18;0;1;0;0;1;0;0.664;0.5625;3;1;0;2;1;1;1;0
13119076666;2;0;1;1;1;20;0;1;0;0;1;0;0.5;0.071428571;4;1;1;1;1;1;1;1
13119062789;5;0;1;1;0;35;1;0;0;0;0;0;1.164;0.221333333;2;1;0;3;0;0;1;0
13119078789;3;1;1;1;0;35;0;0;1;0;0;0;4.2;1.58;4;1;1;5;1;1;1;0
13119066650;4;0;1;1;0;53;0;0;1;0;0;0;1.164;0.5625;4;1;1;3;1;1;0;0
13119073475;3;0;1;1;0;33;0;0;1;1;0;0;1.164;0.45;3;1;0;4;0;1;1;0
13119049215;4;1;1;1;1;34;1;0;0;0;0;0;3;1.4625;3;1;0;4;1;1;1;1
13119074631;4;0;1;1;0;36;1;0;0;0;0;1;1.164;0.35;2;1;0;3;1;1;1;0
13119035686;3;0;1;1;0;37;1;0;0;0;0;0;1.75;0.321428571;3;1;1;3;1;1;1;0
